Time,Resistance,Surface
1,7254.73,ACRYLIC
2,7893.9,ACRYLIC
3,8091.35,ACRYLIC
4,8130.83,ACRYLIC
5,7933.59,ACRYLIC
6,7961.72,ACRYLIC
7,8358.54,ACRYLIC
8,8730.94,ACRYLIC
9,8557.11,ACRYLIC
10,10247.37,ACRYLIC
11,8013.42,ACRYLIC
12,8877.53,ACRYLIC
13,10205.53,ACRYLIC
14,8116.69,ACRYLIC
15,14657.37,ACRYLIC
16,13469.93,ACRYLIC
17,17983.03,ACRYLIC
18,14440.77,ACRYLIC
19,18940.59,ACRYLIC
20,7197.08,ACRYLIC
21,16230.83,ACRYLIC
22,6148.81,ACRYLIC
23,19434.44,ACRYLIC
24,5615.86,ACRYLIC
25,10299.65,ACRYLIC
26,9759.25,ACRYLIC
27,5761.45,ACRYLIC
28,10779.07,ACRYLIC
29,9469.1,ACRYLIC
30,6062.09,ACRYLIC
31,15327.76,ACRYLIC
32,7898.5,ACRYLIC
33,7606.76,ACRYLIC
34,10549.36,ACRYLIC
35,8806.06,ACRYLIC
36,16658.88,ACRYLIC
37,6977.14,ACRYLIC
38,11336.37,ACRYLIC
39,7160.13,ACRYLIC
40,20237.81,ACRYLIC
41,5438.22,ACRYLIC
42,9390.4,ACRYLIC
43,9365.73,ACRYLIC
44,5668.88,ACRYLIC
45,11206.33,ACRYLIC
46,9263.43,ACRYLIC
47,7595.17,ACRYLIC
48,10979.0,ACRYLIC
49,6826.57,ACRYLIC
50,18442.54,ACRYLIC
51,6770.96,ACRYLIC
52,19517.6,ACRYLIC
53,6292.57,ACRYLIC
54,21131.78,ACRYLIC
55,7072.51,ACRYLIC
56,19613.63,ACRYLIC
57,6408.66,ACRYLIC
58,19239.66,ACRYLIC
59,5809.42,ACRYLIC
60,10718.94,ACRYLIC
61,10124.73,ACRYLIC
62,18108.45,ACRYLIC
63,5891.58,ACRYLIC
64,19219.82,ACRYLIC
65,5912.31,ACRYLIC
66,10272.2,ACRYLIC
67,9073.99,ACRYLIC
68,4683.6,ACRYLIC
69,9840.01,ACRYLIC
70,10065.66,ACRYLIC
71,9917.42,ACRYLIC
72,9158.62,ACRYLIC
73,8969.86,ACRYLIC
74,9146.03,ACRYLIC
75,8942.12,ACRYLIC
76,8976.4,ACRYLIC
77,8811.55,ACRYLIC
78,8828.11,ACRYLIC
79,8516.27,ACRYLIC
80,8310.88,ACRYLIC
81,8472.51,ACRYLIC
82,8542.71,ACRYLIC
83,8873.88,ACRYLIC
84,8650.01,ACRYLIC
85,8497.74,ACRYLIC
86,8406.64,ACRYLIC
87,8552.15,ACRYLIC
88,8465.53,ACRYLIC
89,8575.85,ACRYLIC
90,8580.09,ACRYLIC
91,8514.52,ACRYLIC
92,8613.62,ACRYLIC
93,8546.85,ACRYLIC
94,8554.11,ACRYLIC
95,8527.48,ACRYLIC
96,8425.89,ACRYLIC
97,8456.4,ACRYLIC
98,8404.92,ACRYLIC
99,8387.74,ACRYLIC
100,8399.51,ACRYLIC
101,7929.68,ACRYLIC
102,7806.56,ACRYLIC
103,7669.0,ACRYLIC
104,7440.62,ACRYLIC
105,6526.79,ACRYLIC
106,6714.28,ACRYLIC
107,6755.23,ACRYLIC
108,6781.97,ACRYLIC
109,6774.7,ACRYLIC
110,6766.91,ACRYLIC
111,6796.17,ACRYLIC
112,6813.77,ACRYLIC
113,6753.59,ACRYLIC
114,6740.01,ACRYLIC
115,6698.28,ACRYLIC
116,6698.94,ACRYLIC
117,6732.32,ACRYLIC
118,6708.18,ACRYLIC
119,6685.12,ACRYLIC
120,6623.77,ACRYLIC
121,6613.8,ACRYLIC
122,6553.67,ACRYLIC
123,6462.58,ACRYLIC
124,6394.11,ACRYLIC
125,6384.96,ACRYLIC
126,6438.41,ACRYLIC
127,6508.73,ACRYLIC
128,6498.15,ACRYLIC
129,6604.63,ACRYLIC
130,6651.3,ACRYLIC
131,7103.49,ACRYLIC
132,7164.92,ACRYLIC
133,7147.99,ACRYLIC
134,7266.2,ACRYLIC
135,7279.17,ACRYLIC
136,7334.45,ACRYLIC
137,7313.45,ACRYLIC
138,7272.72,ACRYLIC
139,7285.28,ACRYLIC
140,7256.59,ACRYLIC
141,7334.83,ACRYLIC
142,7372.55,ACRYLIC
143,7327.2,ACRYLIC
144,7327.68,ACRYLIC
145,7284.34,ACRYLIC
146,7157.76,ACRYLIC
147,7099.22,ACRYLIC
148,7130.68,ACRYLIC
149,7105.46,ACRYLIC
150,7067.9,ACRYLIC
151,6996.58,ACRYLIC
152,6951.03,ACRYLIC
153,6888.16,ACRYLIC
154,6861.02,ACRYLIC
155,6804.55,ACRYLIC
156,6783.84,ACRYLIC
157,6808.28,ACRYLIC
158,6820.96,ACRYLIC
159,6780.85,ACRYLIC
160,6814.71,ACRYLIC
161,6804.36,ACRYLIC
162,6681.47,ACRYLIC
163,6749.75,ACRYLIC
164,6817.95,ACRYLIC
165,6766.32,ACRYLIC
166,6776.17,ACRYLIC
167,6846.15,ACRYLIC
168,6884.27,ACRYLIC
1,6847.83,BUBBLEWRAP BACK
2,6686.18,BUBBLEWRAP BACK
3,6549.35,BUBBLEWRAP BACK
4,7614.0,BUBBLEWRAP BACK
5,9372.12,BUBBLEWRAP BACK
6,9121.49,BUBBLEWRAP BACK
7,10036.41,BUBBLEWRAP BACK
8,8791.25,BUBBLEWRAP BACK
9,8560.5,BUBBLEWRAP BACK
10,8874.89,BUBBLEWRAP BACK
11,9104.39,BUBBLEWRAP BACK
12,9194.79,BUBBLEWRAP BACK
13,9726.19,BUBBLEWRAP BACK
14,9343.19,BUBBLEWRAP BACK
15,9994.73,BUBBLEWRAP BACK
16,8845.49,BUBBLEWRAP BACK
17,10419.88,BUBBLEWRAP BACK
18,9870.24,BUBBLEWRAP BACK
19,8684.66,BUBBLEWRAP BACK
20,10158.31,BUBBLEWRAP BACK
21,8418.17,BUBBLEWRAP BACK
22,10605.7,BUBBLEWRAP BACK
23,10102.12,BUBBLEWRAP BACK
24,17062.08,BUBBLEWRAP BACK
25,13203.92,BUBBLEWRAP BACK
26,15833.4,BUBBLEWRAP BACK
27,12138.3,BUBBLEWRAP BACK
28,15084.49,BUBBLEWRAP BACK
29,14439.13,BUBBLEWRAP BACK
30,9884.06,BUBBLEWRAP BACK
31,9715.49,BUBBLEWRAP BACK
32,15462.81,BUBBLEWRAP BACK
33,13769.25,BUBBLEWRAP BACK
34,10383.17,BUBBLEWRAP BACK
35,10424.62,BUBBLEWRAP BACK
36,9678.76,BUBBLEWRAP BACK
37,10695.51,BUBBLEWRAP BACK
38,9710.69,BUBBLEWRAP BACK
39,13775.25,BUBBLEWRAP BACK
40,14505.05,BUBBLEWRAP BACK
41,12990.19,BUBBLEWRAP BACK
42,12985.58,BUBBLEWRAP BACK
43,13614.7,BUBBLEWRAP BACK
44,12602.12,BUBBLEWRAP BACK
45,12201.71,BUBBLEWRAP BACK
46,13066.07,BUBBLEWRAP BACK
47,13598.96,BUBBLEWRAP BACK
48,13612.01,BUBBLEWRAP BACK
49,14254.42,BUBBLEWRAP BACK
50,13702.57,BUBBLEWRAP BACK
51,9191.0,BUBBLEWRAP BACK
52,9519.53,BUBBLEWRAP BACK
